frame,landmark,x,y,z,visibility
0,0,0.045763478,1.3887819,-0.10372665,1.0
0,1,0.018861774,1.3956968,-0.09618011,1.0
0,2,0.028401384,1.4182407,-0.090870544,1.0
0,3,0.029047389,1.4029132,-0.094026685,1.0
0,4,0.026639404,1.4111321,-0.14162186,1.0
0,5,0.030711882,1.4233507,-0.1587883,1.0
0,6,0.034725428,1.4013336,-0.13003169,1.0
0,7,-0.027574884,1.4047356,-0.04859189,1.0
0,8,-0.041099038,1.3264201,-0.14103383,1.0
0,9,0.03779751,1.3951198,-0.08098987,1.0
0,10,0.03831469,1.3469845,-0.13248035,1.0
0,11,0.008445594,1.3200957,0.071494624,1.0
0,12,-0.060782913,1.2634679,-0.083844215,1.0
0,13,0.0914205,1.4511819,0.09686201,1.0
0,14,-0.06797328,0.9846666,-0.18626055,1.0
0,15,0.18598819,1.5815268,0.13409446,1.0
0,16,-0.15006514,0.7939275,-0.25844154,1.0
0,17,0.20662883,1.6168458,0.13336281,1.0
0,18,-0.14735794,0.77383786,-0.28531367,1.0
0,19,0.19948234,1.6378628,0.12821104,1.0
0,20,-0.12841004,0.795974,-0.31016695,1.0
0,21,0.20544292,1.5673327,0.12139677,1.0
0,22,-0.14608237,0.79923695,-0.26237628,1.0
0,23,0.0357483,0.76427686,0.08617993,1.0
0,24,-0.028329838,0.77964395,-0.10156912,1.0
0,25,0.068420716,0.4043443,0.057449628,1.0
0,26,0.031702526,0.4762256,-0.105938606,1.0
0,27,-0.029534627,0.060072374,0.11005088,1.0
0,28,-0.15009138,0.13678184,-0.06364321,1.0
0,29,-0.06229937,0.032812472,0.119933665,1.0
0,30,-0.17138286,0.10242252,-0.10184722,1.0
0,31,0.006298731,-0.020230722,0.11606229,1.0
0,32,-0.1038918,0.08398182,-0.14401338,1.0
1,0,0.041795358,1.3984594,-0.10697,1.0
1,1,0.013980063,1.406066,-0.097638726,1.0
1,2,0.025707824,1.4290886,-0.09279835,1.0
1,3,0.024858397,1.4134886,-0.09488878,1.0
1,4,0.021391833,1.4207678,-0.14279597,1.0
1,5,0.02607721,1.4324967,-0.16215423,1.0
1,6,0.030256584,1.4121137,-0.13109992,1.0
1,7,-0.030576775,1.4150836,-0.04698551,1.0
1,8,-0.048201468,1.3374414,-0.14097412,1.0
1,9,0.032824844,1.404627,-0.081074595,1.0
1,10,0.03304949,1.3575484,-0.13279743,1.0
1,11,0.0062845014,1.3294172,0.07463953,1.0
1,12,-0.070096605,1.2763828,-0.08313863,1.0
1,13,0.09470231,1.4590982,0.1041986,1.0
1,14,-0.070631005,0.9931286,-0.18605657,1.0
1,15,0.18660815,1.5895863,0.14215232,1.0
1,16,-0.15069409,0.8012438,-0.26117963,1.0
1,17,0.20932412,1.6243563,0.14145797,1.0
1,18,-0.14856657,0.78212404,-0.2880535,1.0
1,19,0.20029053,1.6438388,0.13607356,1.0
1,20,-0.13142155,0.80519915,-0.31263554,1.0
1,21,0.20737529,1.5734963,0.1296223,1.0
1,22,-0.1472917,0.8074987,-0.26317286,1.0
1,23,0.039140165,0.7765768,0.08719647,1.0
1,24,-0.031096268,0.78999406,-0.10328301,1.0
1,25,0.06405636,0.41103548,0.05430417,1.0
1,26,0.033871442,0.4837577,-0.114571676,1.0
1,27,-0.03655143,0.06304139,0.10687342,1.0
1,28,-0.1464127,0.13358176,-0.08938923,1.0
1,29,-0.07024081,0.03541421,0.11665909,1.0
1,30,-0.16778508,0.09904215,-0.12757784,1.0
1,31,-0.0038143126,-0.02126355,0.10977865,1.0
1,32,-0.09743348,0.07929773,-0.17955375,1.0
2,0,0.039125416,1.4028436,-0.11067742,1.0
2,1,0.0105753485,1.4113576,-0.10019806,1.0
2,2,0.022589186,1.4339914,-0.09500477,1.0
2,3,0.021308206,1.41752,-0.09718389,1.0
2,4,0.017392794,1.4249492,-0.14559424,1.0
2,5,0.022138905,1.4373674,-0.16512528,1.0
2,6,0.027110038,1.41711,-0.1333747,1.0
2,7,-0.032685146,1.4207221,-0.04684406,1.0
2,8,-0.053414088,1.3430874,-0.142389,1.0
2,9,0.030266235,1.4082961,-0.082623065,1.0
2,10,0.029639168,1.3629047,-0.13484606,1.0
2,11,0.007898357,1.335032,0.07632865,1.0
2,12,-0.0763794,1.2799146,-0.083562985,1.0
2,13,0.09670723,1.4648349,0.106634095,1.0
2,14,-0.0732222,0.9939794,-0.1865886,1.0
2,15,0.18713085,1.5990243,0.14402197,1.0
2,16,-0.15137123,0.8006475,-0.26140648,1.0
2,17,0.2097626,1.635168,0.14226133,1.0
2,18,-0.14866847,0.7808188,-0.2882951,1.0
2,19,0.20050167,1.6543808,0.13774937,1.0
2,20,-0.13315885,0.8059659,-0.31328347,1.0
2,21,0.2083249,1.5834669,0.13087891,1.0
2,22,-0.14817643,0.80704427,-0.26315546,1.0
2,23,0.04288365,0.78140134,0.087616414,1.0
2,24,-0.033999644,0.7936495,-0.103546165,1.0
2,25,0.06752512,0.4134278,0.049299147,1.0
2,26,0.026201574,0.4814512,-0.11778233,1.0
