frame,landmark,x,y,z,visibility
0,0,0.04259316,1.3785884,-0.12973976,1.0
0,1,0.01658911,1.403672,-0.12463691,1.0
0,2,0.01996323,1.4008312,-0.112769745,1.0
0,3,0.012729444,1.409486,-0.113741726,1.0
0,4,0.012533687,1.3969941,-0.165125,1.0
0,5,0.020006927,1.4077473,-0.1810099,1.0
0,6,0.023828182,1.38638,-0.15529466,1.0
0,7,-0.03622185,1.3762853,-0.05638975,1.0
0,8,-0.05884153,1.287207,-0.1711852,1.0
0,9,0.046183456,1.3720518,-0.09538556,1.0
0,10,0.032903247,1.322227,-0.15341435,1.0
0,11,-0.0024976458,1.2795539,0.062342428,1.0
0,12,-0.065022625,1.2342719,-0.11539056,1.0
0,13,0.08808642,1.4470408,0.08634921,1.0
0,14,-0.08004466,0.9452892,-0.23674528,1.0
0,15,0.19716927,1.6344459,0.0961684,1.0
0,16,-0.15599573,0.76002204,-0.29881603,1.0
0,17,0.21288899,1.6738698,0.09961004,1.0
0,18,-0.16028786,0.7069919,-0.35233137,1.0
0,19,0.18934478,1.7007998,0.07852089,1.0
0,20,-0.14051509,0.7279865,-0.36047715,1.0
0,21,0.20939633,1.6254818,0.07457365,1.0
0,22,-0.1574603,0.74120134,-0.31099248,1.0
0,23,0.015141888,0.73810315,0.09443801,1.0
0,24,-0.015444658,0.75834846,-0.095505536,1.0
0,25,0.07217649,0.3945654,0.060893517,1.0
0,26,-0.004349289,0.44400668,-0.09289363,1.0
0,27,-0.018524077,0.06478971,0.116273955,1.0
0,28,-0.14959699,0.0796181,-0.05161613,1.0
0,29,-0.050656214,0.008912146,0.13185157,1.0
0,30,-0.15701576,0.054519475,-0.09118377,1.0
0,31,-0.013243612,-0.007935464,0.12247289,1.0
0,32,-0.10644223,0.03252095,-0.12929903,1.0
1,0,0.03609918,1.4221066,-0.13195337,1.0
1,1,0.012753135,1.443249,-0.12595098,1.0
1,2,0.014250559,1.4345843,-0.11064854,1.0
1,3,0.0076261144,1.4464626,-0.118120246,1.0
1,4,0.011108828,1.4333398,-0.16735491,1.0
1,5,0.014037949,1.4448385,-0.18299425,1.0
1,6,0.017626733,1.4283259,-0.1506092,1.0
1,7,-0.043572657,1.4093763,-0.055617176,1.0
1,8,-0.06286672,1.3288827,-0.16985749,1.0
1,9,0.04002896,1.4057612,-0.09093382,1.0
1,10,0.03085844,1.3584223,-0.15287858,1.0
1,11,-0.001869025,1.3127049,0.065420076,1.0
1,12,-0.07678378,1.2649341,-0.118006706,1.0
1,13,0.085815035,1.4899774,0.09072476,1.0
1,14,-0.080554,0.96775585,-0.2371496,1.0
1,15,0.19790503,1.6715031,0.106906064,1.0
1,16,-0.15402845,0.77718264,-0.300967,1.0
1,17,0.21104828,1.7117627,0.10905932,1.0
1,18,-0.1578397,0.73233294,-0.35138777,1.0
1,19,0.19079575,1.7336247,0.0918985,1.0
1,20,-0.13917641,0.7562594,-0.35926032,1.0
1,21,0.20607263,1.6629149,0.08601975,1.0
1,22,-0.1502682,0.7656682,-0.31040072,1.0
1,23,0.01666404,0.77798724,0.09260621,1.0
1,24,-0.018821916,0.7982458,-0.09607695,1.0
1,25,0.06870591,0.43202183,0.057473514,1.0
1,26,0.0026918342,0.47748902,-0.10188174,1.0
1,27,-0.024915516,0.09840387,0.114233166,1.0
1,28,-0.14816685,0.1072849,-0.081830025,1.0
1,29,-0.060141925,0.050309777,0.12581728,1.0
1,30,-0.15781944,0.07744205,-0.119279996,1.0
1,31,-0.023747604,0.019981384,0.11772527,1.0
1,32,-0.09892095,0.057708025,-0.17512572,1.0
2,0,0.03344439,1.427036,-0.13563909,1.0
2,1,0.010699994,1.4442596,-0.128607,1.0
2,2,0.010985627,1.4344044,-0.112541005,1.0
2,3,0.0045926077,1.4462973,-0.122585855,1.0
2,4,0.009312313,1.4363683,-0.17095284,1.0
2,5,0.0109763155,1.4443674,-0.18631312,1.0
2,6,0.014587754,1.4329262,-0.15131694,1.0
2,7,-0.04762334,1.4105444,-0.05418006,1.0
2,8,-0.06673152,1.3327323,-0.17038149,1.0
2,9,0.03726477,1.4074262,-0.09024324,1.0
2,10,0.029191392,1.3608868,-0.1553345,1.0
2,11,-0.0007833304,1.312398,0.066682525,1.0
2,12,-0.084234655,1.264563,-0.118536666,1.0
2,13,0.084531724,1.493396,0.091884345,1.0
2,14,-0.08085506,0.96252495,-0.23682281,1.0
2,15,0.19723667,1.6771955,0.10919522,1.0
2,16,-0.15287666,0.76913804,-0.30124706,1.0
2,17,0.21063776,1.7183888,0.110361494,1.0
2,18,-0.1569071,0.7313621,-0.35083166,1.0
2,19,0.19119634,1.7379464,0.0941457,1.0
2,20,-0.13838945,0.75434613,-0.35785133,1.0
2,21,0.20510341,1.66886,0.08959127,1.0
2,22,-0.14786373,0.7619691,-0.3102385,1.0
2,23,0.021404393,0.7819137,0.0925531,1.0
2,24,-0.025112586,0.80092096,-0.09562104,1.0
2,25,0.07128285,0.43303928,0.054503597,1.0
2,26,-0.0022857855,0.4719389,-0.10445234,1.0
2,27,-0.027653206,0.095938265,0.10953773,1.0
2,28,-0.15045759,0.09451425,-0.08914291,1.0
